Países;Grupos de edad;Periodo;Total
Francia;De 15 a 64 años;2022;5,2
Francia;De 15 a 64 años;2021;5,6
Francia;De 15 a 64 años;2020;6,3
Francia;De 15 a 64 años;2019;6,4
Francia;De 15 a 64 años;2018;7
Francia;De 15 a 64 años;2017;7,2
Francia;De 15 a 64 años;2016;6,6
Francia;De 15 a 64 años;2015;6,5
Francia;De 15 a 64 años;2014;6,8
Francia;De 15 a 64 años;2013;7,5
Francia;De 15 a 24 años;2023;3,1
Francia;De 15 a 24 años;2022;2,8
Francia;De 15 a 24 años;2021;3,2
Francia;De 15 a 24 años;2020;3,9
Francia;De 15 a 24 años;2019;3,7
Francia;De 15 a 24 años;2018;5
Francia;De 15 a 24 años;2017;4,6
Francia;De 15 a 24 años;2016;3,9
Francia;De 15 a 24 años;2015;4
